time_step,weekend,rushhour
4767,2023071815,0,1
4768,2023071816,0,1
4769,2023071817,0,1
4770,2023071818,0,1
4771,2023071819,0,1
4772,2023071820,0,1
4773,2023071821,0,0
4774,2023071822,0,0
4775,2023071823,0,0
4776,2023071900,0,0
4777,2023071901,0,0
4778,2023071902,0,0
4779,2023071903,0,0
4780,2023071904,0,0
4781,2023071905,0,0
4782,2023071906,0,1
4783,2023071907,0,1
4784,2023071908,0,1
4785,2023071909,0,1
4786,2023071910,0,1
4787,2023071911,0,1
4788,2023071912,0,1
4789,2023071913,0,1
4790,2023071914,0,1
4791,2023071915,0,1
4792,2023071916,0,1
4793,2023071917,0,1
4794,2023071918,0,1
4795,2023071919,0,1
4796,2023071920,0,1
4797,2023071921,0,0
4798,2023071922,0,0
4799,2023071923,0,0
4800,2023072000,0,0
4801,2023072001,0,0
4802,2023072002,0,0
4803,2023072003,0,0
4804,2023072004,0,0
4805,2023072005,0,0
4806,2023072006,0,1
4807,2023072007,0,1
4808,2023072008,0,1
4809,2023072009,0,1
4810,2023072010,0,1
4811,2023072011,0,1
4812,2023072012,0,1
4813,2023072013,0,1
4814,2023072014,0,1
4815,2023072015,0,1
4816,2023072016,0,1
4817,2023072017,0,1
4818,2023072018,0,1
4819,2023072019,0,1
4820,2023072020,0,1
4821,2023072021,0,0
4822,2023072022,0,0
4823,2023072023,0,0
4824,2023072100,0,0
4825,2023072101,0,0
4826,2023072102,0,0
4827,2023072103,0,0
4828,2023072104,0,0
4829,2023072105,0,0
4830,2023072106,0,1
4831,2023072107,0,1
4832,2023072108,0,1
4833,2023072109,0,1
4834,2023072110,0,1
4835,2023072111,0,1
4836,2023072112,0,1
4837,2023072113,0,1
4838,2023072114,0,1
4839,2023072115,0,1
4840,2023072116,0,1
4841,2023072117,0,1
4842,2023072118,0,1
4843,2023072119,0,1
4844,2023072120,0,1
4845,2023072121,0,0
4846,2023072122,0,0
4847,2023072123,0,0
4848,2023072200,0,0
4849,2023072201,0,0
4850,2023072202,0,0
4851,2023072203,0,0
4852,2023072204,0,0
4853,2023072205,0,0
4854,2023072206,0,1
4855,2023072207,0,1
4856,2023072208,0,1
4857,2023072209,0,1
4858,2023072210,0,1
4859,2023072211,0,1
4860,2023072212,0,1
4861,2023072213,0,1
4862,2023072214,0,1
4863,2023072215,0,1
4864,2023072216,0,1
4865,2023072217,0,1
4866,2023072218,0,1
4867,2023072219,0,1
4868,2023072220,0,1
4869,2023072221,0,0
4870,2023072222,0,0
4871,2023072223,0,0
4872,2023072300,0,0
4873,2023072301,0,0
4874,2023072302,0,0
4875,2023072303,0,0
4876,2023072304,0,0
4877,2023072305,0,0
4878,2023072306,0,1
4879,2023072307,0,1
4880,2023072308,0,1
4881,2023072309,0,1
4882,2023072310,0,1
4883,2023072311,0,1
4884,2023072312,0,1
4885,2023072313,0,1
4886,2023072314,0,1
4887,2023072315,0,1
4888,2023072316,0,1
4889,2023072317,0,1
4890,2023072318,0,1
4891,2023072319,0,1
4892,2023072320,0,1
4893,2023072321,0,0
4894,2023072322,0,0
4895,2023072323,0,0
4896,2023072400,0,0
4897,2023072401,0,0
4898,2023072402,0,0
4899,2023072403,0,0
4900,2023072404,0,0
4901,2023072405,0,0
4902,2023072406,0,1
4903,2023072407,0,1
4904,2023072408,0,1
4905,2023072409,0,1
4906,2023072410,0,1
4907,2023072411,0,1
4908,2023072412,0,1
4909,2023072413,0,1
4910,2023072414,0,1
4911,2023072415,0,1
4912,2023072416,0,1
4913,2023072417,0,1
4914,2023072418,0,1
4915,2023072419,0,1
4916,2023072420,0,1
4917,2023072421,0,0
4918,2023072422,0,0
4919,2023072423,0,0
4920,2023072500,0,0
4921,2023072501,0,0
4922,2023072502,0,0
4923,2023072503,0,0
4924,2023072504,0,0
4925,2023072505,0,0
4926,2023072506,0,1
4927,2023072507,0,1
4928,2023072508,0,1
4929,2023072509,0,1
4930,2023072510,0,1
4931,2023072511,0,1
4932,2023072512,0,1
4933,2023072513,0,1
4934,2023072514,0,1
4935,2023072515,0,1
4936,2023072516,0,1
4937,2023072517,0,1
4938,2023072518,0,1
4939,2023072519,0,1
4940,2023072520,0,1
4941,2023072521,0,0
4942,2023072522,0,0
4943,2023072523,0,0
4944,2023072600,0,0
4945,2023072601,0,0
4946,2023072602,0,0
4947,2023072603,0,0
4948,2023072604,0,0
4949,2023072605,0,0
4950,2023072606,0,1
4951,2023072607,0,1
4952,2023072608,0,1
4953,2023072609,0,1
4954,2023072610,0,1
4955,2023072611,0,1
4956,2023072612,0,1
4957,2023072613,0,1
4958,2023072614,0,1
4959,2023072615,0,1
4960,2023072616,0,1
4961,2023072617,0,1
4962,2023072618,0,1
4963,2023072619,0,1
4964,2023072620,0,1
4965,2023072621,0,0
4966,2023072622,0,0
4967,2023072623,0,0
4968,2023072700,0,0
4969,2023072701,0,0
4970,2023072702,0,0
4971,2023072703,0,0
4972,2023072704,0,0
4973,2023072705,0,0
4974,2023072706,0,1
4975,2023072707,0,1
4976,2023072708,0,1
4977,2023072709,0,1
4978,2023072710,0,1
4979,2023072711,0,1
4980,2023072712,0,1
4981,2023072713,0,1
4982,2023072714,0,1
4983,2023072715,0,1
4984,2023072716,0,1
4985,2023072717,0,1
4986,2023072718,0,1
4987,2023072719,0,1
4988,2023072720,0,1
4989,2023072721,0,0
4990,2023072722,0,0
4991,2023072723,0,0
4992,2023072800,0,0
4993,2023072801,0,0
4994,2023072802,0,0
4995,2023072803,0,0
4996,2023072804,0,0
4997,2023072805,0,0
4998,2023072806,0,1
4999,2023072807,0,1
5000,2023072808,0,1
5001,2023072809,0,1
5002,2023072810,0,1
